SurveyNumber,SurveyEffortKey,StrainCd,SurveyId,WaterBodyName,AgencyUnitName,SiteName,SurveyBeginTimestamp,Updated
-12750,171,BRB,15204,Mullett Lake,Northern Lake Huron Management Unit,Mullett Lake,06/10/1988,
-12750,171,CWS,15204,Mullett Lake,Northern Lake Huron Management Unit,Mullett Lake,06/10/1988,
-12750,171,RHS,15204,Mullett Lake,Northern Lake Huron Management Unit,Mullett Lake,06/10/1988,
-12720,172,RKB,15203,Mullett Lake,Northern Lake Huron Management Unit,Mullett Lake,06/02/1988,
-12710,173,RKB,15202,Mullett Lake,Northern Lake Huron Management Unit,Mullett Lake,06/01/1988,
-12710,173,WHB,15202,Mullett Lake,Northern Lake Huron Management Unit,Mullett Lake,06/01/1988,
-12490,178,BLG,15197,Beaver Lake,Northern Lake Huron Management Unit,Beaver Lake,05/27/1987,
-12490,178,LMB,15197,Beaver Lake,Northern Lake Huron Management Unit,Beaver Lake,05/27/1987,
-12490,178,NOP,15197,Beaver Lake,Northern Lake Huron Management Unit,Beaver Lake,05/27/1987,
-12490,178,PSF,15197,Beaver Lake,Northern Lake Huron Management Unit,Beaver Lake,05/27/1987,
-12490,178,RKB,15197,Beaver Lake,Northern Lake Huron Management Unit,Beaver Lake,05/27/1987,
-11540,189,BNM,15190,Little Wolf Lake,Northern Lake Huron Management Unit,Little Wolf Lake,05/13/1981,
-11540,189,BRB,15190,Little Wolf Lake,Northern Lake Huron Management Unit,Little Wolf Lake,05/13/1981,
-6031,200,LWF,15181,Lake Michigamme,Northern Lake Michigan Management Unit,Lake Michigamme,10/11/1982,
-2627,347,BCR,15133,Round Lake,Lake Erie Management Unit,Round Lake,05/19/1989,
-2622,353,BLG,15128,Matteson Lake,Southern Lake Michigan Management Unit,Matteson Lake,10/04/1988,
-2622,353,CAR,15128,Matteson Lake,Southern Lake Michigan Management Unit,Matteson Lake,10/04/1988,
-2621,354,LNG,15127,Wamplers Lake,Lake Erie Management Unit,Wamplers Lake,05/16/1989,
-2608,375,BUL,15114,Matteson Lake,Southern Lake Michigan Management Unit,Matteson Lake,10/01/1987,
-2579,434,BLG,15086,George Lake,Southern Lake Michigan Management Unit,George Lake,05/22/1986,
-2574,444,BUL,15081,Clear Lake,Southern Lake Michigan Management Unit,Clear Lake,10/15/1985,
-2571,1,BCR,15078,Matteson Lake,Southern Lake Michigan Management Unit,Matteson Lake,06/04/1985,
-2571,1,BLG,15078,Matteson Lake,Southern Lake Michigan Management Unit,Matteson Lake,06/04/1985,
-2556,495,BLG,15063,Homer Lake,Southern Lake Michigan Management Unit,Homer Lake,06/20/1984,
-2531,530,BLG,15039,Portage Lake,Southern Lake Michigan Management Unit,Portage Lake,10/13/1982,
-2530,532,BLG,15038,Upper Brace Lake,Southern Lake Michigan Management Unit,Upper Brace Lake,09/28/1982,
-2522,546,BCR,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2522,546,BLG,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2522,546,BUL,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2522,546,CWS,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2522,546,LMB,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2522,546,PSF,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2522,546,RKB,15030,Lime Lake,Southern Lake Michigan Management Unit,Lime Lake,05/18/1982,
-2520,548,NOP,15028,Kalamazoo River,Southern Lake Michigan Management Unit,15 Mile Rd.,07/29/1982,
-2520,548,RKB,15028,Kalamazoo River,Southern Lake Michigan Management Unit,15 Mile Rd.,07/29/1982,
-2520,548,SMB,15028,Kalamazoo River,Southern Lake Michigan Management Unit,15 Mile Rd.,07/29/1982,
-2508,575,BLG,15016,Huzzy Lake,Southern Lake Michigan Management Unit,Huzzy Lake,09/27/1993,
-2505,580,BLG,15013,Austin Lake,Southern Lake Michigan Management Unit,Austin Lake,05/04/1993,
-2500,591,PSF,15008,Lake Fourteen,Southern Lake Michigan Management Unit,Lake Fourteen,05/12/1992,
-2497,601,BLG,15005,Long Lake,Southern Lake Michigan Management Unit,Long Lake,05/08/1992,
-2472,673,BLG,14980,Maple Lake,Southern Lake Michigan Management Unit,Maple Lake,09/17/1991,
-2470,679,BLG,14978,Selkirk Lake,Southern Lake Michigan Management Unit,Selkirk Lake,05/13/1991,
-2470,679,BUL,14978,Selkirk Lake,Southern Lake Michigan Management Unit,Selkirk Lake,05/13/1991,
-2469,680,BLG,14977,Saddle Lake,Southern Lake Michigan Management Unit,Saddle Lake,05/13/1991,
-2463,695,BLG,14971,Sand Lake,Southern Lake Michigan Management Unit,Sand Lake,06/05/1990,
-2463,695,HSF,14971,Sand Lake,Southern Lake Michigan Management Unit,Sand Lake,06/05/1990,
-2463,696,BLG,14971,Sand Lake,Southern Lake Michigan Management Unit,Sand Lake,06/05/1990,
-2463,696,BUL,14971,Sand Lake,Southern Lake Michigan Management Unit,Sand Lake,06/05/1990,
-2461,700,BLG,14969,Cedar Lake,Southern Lake Michigan Management Unit,Cedar Lake,05/22/1990,
-2452,713,BLG,14960,Osterhout Lake,Southern Lake Michigan Management Unit,Osterhout Lake,04/18/1990,
-2446,729,BLG,14954,Gun Lake,Southern Lake Michigan Management Unit,Gun Lake,04/25/1989,
-2446,731,BCR,14954,Gun Lake,Southern Lake Michigan Management Unit,Gun Lake,04/25/1989,
