SurveyNumber, SurveyEffortKey,Note
11785,1,  
10168,46,
8566,2,  
6297,17,
4667,69,  
8566,1,
6887,60,  
4079,48,
12047,33,  
6908,94,
11784,33,  
10376,32,
4129,18,  
12046,30,
11146,24,  
10480,18,
8711,63,  
8711,65,
10151,20,  
9316,29,
10975,18,  
12044,26,
10975,19,  
11457,29,
11599,32,  
11779,30,
8113,2,  
8113,4,
8113,6,  
11140,28,
8877,31,  
12048,22,
10628,33,  
8515,42,
10964,23,  
10979,23,
6927,33,  
11782,33,
11782,30,  
6931,59,
12072,25,  
8060,27,
10588,19,  
6257,32,
6257,33,  
6257,34,
6912,28,  
6912,29,
6912,30,  
6920,22,
6920,23,  
6920,24,
10192,55,  
10192,56,
12910,40,  
12910,42,
12910,44, 
13605,35, #added these from John's list NLM
13602,30, 
14358,35,
8911,30,
14463,30, 
8530,4, #note that this one doesn’t currently have efforts so gets removed but keep for future
7523,18,#note that this one doesn’t currently have efforts so gets removed  but keep for future
6334,1, #note that this one doesn’t currently have efforts so gets removed but keep for future
5511,43, #these currently don't have a gear so they get filtered out but keep for future 
5511,44, 
7530,19,#problems with shocker only 3 mins of effort
