SurveyNumber, SurveyEffortKey,Note
11785,1,identified by KW
10168,46,identified by KW
8566,2,identified by KW
6297,17,identified by KW
4667,69,identified by KW
8566,1,identified by KW
6887,60,identified by KW
4079,48,identified by KW
12047,33,identified by KW
6908,94,identified by KW
11784,33,identified by KW
10376,32,identified by KW
4129,18,identified by KW
12046,30,identified by KW
11146,24,identified by KW
10480,18,identified by KW
8711,63,identified by KW
8711,65,identified by KW
10151,20,identified by KW
9316,29,identified by KW
10975,18,identified by KW
12044,26,identified by KW
10975,19,identified by KW
11457,29,identified by KW
11599,32,identified by KW
11779,30,identified by KW
8113,2,identified by KW
8113,4,identified by KW
8113,6,identified by KW
11140,28,identified by KW
8877,31,identified by KW
12048,22,identified by KW
10628,33,identified by KW
8515,42,identified by KW
10964,23,identified by KW
10979,23,identified by KW
6927,33,identified by KW
11782,33,identified by KW
11782,30,identified by KW
6931,59,identified by KW
12072,25,identified by KW
8060,27,identified by KW
10588,19,identified by KW
6257,32,identified by KW
6257,33,identified by KW
6257,34,identified by KW
6912,28,identified by KW
6912,29,identified by KW
6912,30,identified by KW
6920,22,identified by KW
6920,23,identified by KW
6920,24,identified by KW
10192,55,identified by KW
10192,56,identified by KW
12910,40,identified by KW
12910,42,identified by KW
12910,44,identified by KW
13605,35,identified by KW; added from John NLM
13602,30,identified by KW
14358,35,identified by KW
8911,30,identified by KW
14463,30,identified by KW
8530,4,identified by KW;no efforts; remove but keep for future
7523,18,identified by KW;no efforts; remove but keep for future
6334,1,identified by KW;no efforts; remove but keep for future
5511,43,identified by KW; no gear; remove but keep for future
5511,44,identified by KW
7530,19,identified by KW; problem with shocker; only 3 min
